#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
982	-128087	-121541	-123213	-136461	-131636	-119119	-114334	-124597	-119816	-123183
983	-128083	-121410	-123209	-136418	-131685	-119137	-114291	-124825	-119960	-123197
984	-128197	-121489	-123152	-136547	-131761	-119203	-114005	-124985	-119976	-123331
985	-127973	-121432	-123154	-136495	-131621	-119387	-113729	-124960	-120000	-123425
986	-127998	-121233	-123192	-136433	-131586	-119344	-113503	-124765	-120121	-123280
987	-127874	-121094	-123181	-136520	-131646	-119349	-113457	-124843	-120002	-123134
988	-127684	-120894	-123159	-136459	-131727	-119575	-113341	-125038	-119877	-123115
989	-127610	-120836	-123072	-136490	-131700	-119479	-113405	-125112	-119796	-123191
990	-127562	-120796	-123055	-136534	-131693	-119312	-113509	-125322	-119790	-122967
991	-127532	-120809	-123236	-136514	-131685	-119113	-113425	-125278	-119783	-122780
992	-127556	-120891	-123152	-136284	-131767	-118920	-113435	-125322	-119547	-122856
993	-127658	-120884	-122991	-136177	-131818	-118820	-113612	-125473	-119661	-122859
994	-127687	-120775	-123062	-136006	-131823	-118728	-113491	-125509	-119753	-122763
995	-127546	-120729	-122993	-136005	-131897	-118568	-113432	-125517	-119852	-122725
996	-127622	-120766	-123157	-136041	-131758	-118442	-113334	-125568	-119668	-122470
997	-127677	-120784	-123380	-136342	-131736	-118601	-113251	-125568	-119791	-122302
998	-127621	-120755	-123723	-136428	-131522	-118866	-113133	-125616	-119804	-122325
999	-127329	-120479	-123930	-136378	-131549	-118861	-113048	-125528	-119767	-122459
1000	-127225	-120370	-123956	-136452	-131325	-118743	-113163	-125471	-119775	-122607
1001	-127080	-120297	-124214	-136464	-131261	-118668	-113117	-125419	-119746	-122690
1002	-126980	-120288	-124276	-136482	-131108	-118245	-113104	-125315	-119763	-122707
1003	-126737	-119925	-124232	-136616	-131022	-118134	-113070	-125182	-119742	-122701
1004	-126503	-119692	-124156	-136488	-130973	-117970	-113153	-125287	-119846	-122377
1005	-126446	-119588	-124163	-136579	-131027	-117913	-113040	-125324	-119812	-122283
1006	-126396	-119530	-124141	-136598	-130994	-117794	-112943	-125361	-119726	-121949
1007	-126439	-119490	-124191	-136760	-130824	-117717	-112950	-125440	-119604	-121876
1008	-126388	-119525	-124253	-136799	-130987	-117671	-113110	-125520	-119483	-121822
1009	-126355	-119376	-124372	-136940	-131095	-117635	-113094	-125623	-119520	-121598
1010	-126325	-119229	-124665	-137019	-130958	-117608	-113106	-125706	-119671	-121490
1011	-126270	-119138	-124744	-137016	-130934	-117511	-113009	-125657	-119753	-121321
1012	-126110	-118916	-124702	-137060	-130764	-117401	-113031	-125656	-119889	-121078
1013	-125863	-118697	-124796	-137297	-130626	-117242	-113026	-125571	-119804	-120808
1014	-125702	-118350	-124932	-137315	-130557	-117011	-112934	-125547	-119825	-120477
1015	-125669	-118119	-124876	-137655	-130433	-116812	-112864	-125397	-119652	-120108
1016	-125545	-118067	-124962	-137828	-130426	-116479	-112848	-125149	-119647	-119926
1017	-125459	-117960	-124935	-137878	-130139	-116393	-112897	-124848	-119744	-119712
1018	-125408	-117703	-124818	-137953	-130133	-116242	-113004	-124968	-119608	-119568
1019	-125477	-117574	-124792	-138071	-129931	-116266	-113130	-124938	-119590	-119690
1020	-125580	-117462	-124711	-138035	-129758	-116163	-113027	-124924	-119414	-119789
1021	-125766	-117461	-124735	-137801	-129490	-116150	-113209	-125006	-119397	-119954
1022	-125660	-117289	-124826	-137729	-129456	-116091	-113285	-125024	-119429	-119943
1023	-125661	-117187	-124839	-137570	-129490	-116163	-113252	-125082	-119343	-119800
1024	-125450	-117113	-124921	-137775	-129485	-115917	-113355	-125149	-119371	-119535
1025	-125364	-116949	-124979	-137862	-129259	-115897	-113554	-124960	-119473	-119308
1026	-125287	-116904	-125133	-137859	-129164	-115764	-113544	-124668	-119611	-119109
1027	-125209	-116932	-125185	-138043	-129179	-115772	-113466	-124652	-119565	-118882
1028	-125251	-116839	-125122	-138199	-129105	-115565	-113630	-124396	-119768	-118708
1029	-125336	-116757	-125058	-138171	-128903	-115470	-113734	-124150	-119718	-118515
1030	-125220	-116940	-125042	-137994	-128704	-115405	-113706	-124014	-119676	-118268
1031	-125147	-116988	-124997	-137854	-128480	-115312	-113826	-123807	-119839	-118110
1032	-125039	-116985	-124882	-137723	-128570	-115076	-113881	-123613	-119921	-118034
1033	-124865	-116812	-124782	-137704	-128858	-115059	-113958	-123516	-119777	-117919
1034	-124811	-116511	-124777	-137654	-128949	-114997	-113980	-123262	-119645	-117779
1035	-124842	-116382	-124778	-137498	-129029	-114895	-113812	-123274	-119629	-117536
1036	-125118	-116219	-124742	-137529	-129026	-115030	-113853	-123233	-119764	-117213
1037	-124884	-116117	-124808	-137453	-129000	-115151	-113857	-123223	-119867	-116953
1038	-124698	-116151	-124621	-137179	-128897	-115151	-113973	-123182	-119806	-116601
1039	-124747	-116270	-124550	-137024	-128859	-115187	-113965	-123048	-119795	-116294
1040	-124806	-116411	-124580	-136965	-128581	-115142	-114026	-122845	-119634	-116111
1041	-124550	-116437	-124627	-136699	-128470	-115408	-113846	-122689	-119468	-115897
1042	-124600	-116361	-124661	-136762	-128295	-115269	-113814	-122681	-119434	-115853
1043	-124941	-116357	-124561	-136651	-128326	-115300	-113701	-122444	-119500	-115573
1044	-124831	-116336	-124416	-136636	-128383	-115362	-113555	-122471	-119745	-115274
1045	-124970	-116182	-124404	-136499	-128269	-115394	-113588	-122235	-119733	-115180
1046	-124831	-116095	-124482	-136401	-128239	-115448	-113628	-122150	-119703	-115042
1047	-124719	-116109	-124610	-136245	-128039	-115475	-113784	-121970	-119758	-114875
1048	-124448	-116200	-124591	-136263	-127805	-115398	-113737	-121774	-119757	-114736
1049	-124518	-116412	-124464	-135951	-127772	-115348	-113679	-121448	-119782	-114585
1050	-124628	-116269	-124172	-135914	-127610	-115317	-113596	-121227	-119651	-114341
1051	-124488	-116271	-124019	-135786	-127463	-115432	-113510	-121067	-119759	-114376
1052	-124405	-116218	-123816	-135706	-127249	-115426	-113364	-120856	-119605	-114359
1053	-124300	-116397	-123783	-135587	-127071	-115458	-113506	-120828	-119661	-114423
1054	-124492	-116483	-123913	-135505	-127142	-115503	-113530	-120775	-119624	-114375
1055	-124361	-116386	-123864	-135436	-127059	-115372	-113572	-120862	-119764	-114317
1056	-124489	-116305	-123807	-135277	-127151	-115312	-113700	-120801	-119944	-114302
1057	-124348	-116238	-123756	-135092	-127073	-115354	-113705	-120759	-120085	-114149
1058	-124282	-116278	-123632	-134798	-126930	-115129	-113885	-120856	-120148	-114110
1059	-124516	-116203	-123756	-134747	-126770	-115122	-113802	-120861	-120074	-113846
1060	-124471	-116271	-123715	-134594	-126712	-115056	-113936	-120727	-120112	-113918
1061	-124357	-116235	-123594	-134395	-126489	-115029	-114008	-120433	-119992	-113947
1062	-124417	-116377	-123464	-134174	-126396	-115211	-114014	-120322	-119898	-113845
1063	-124337	-116406	-123277	-134056	-126330	-115280	-114004	-120364	-119797	-113701
1064	-124128	-116490	-123141	-133746	-126405	-115304	-113834	-120180	-119535	-113595
1065	-124213	-116459	-122997	-133714	-126475	-115338	-113834	-120058	-119316	-113344
1066	-124146	-116498	-123089	-133647	-126429	-115304	-113575	-119997	-119389	-113280
1067	-124112	-116452	-123202	-133418	-126377	-115337	-113291	-119749	-119461	-113203
1068	-124003	-116373	-123113	-133362	-126575	-115174	-113276	-119775	-119516	-113288
1069	-123917	-116301	-123057	-133358	-126444	-115142	-113392	-119531	-119300	-113306
1070	-123732	-116313	-123050	-133179	-126238	-115075	-113504	-119441	-119042	-113363
1071	-123787	-116305	-123057	-132971	-126376	-115060	-113630	-119255	-118964	-113329
1072	-123799	-116527	-123059	-133022	-126330	-115186	-113949	-119042	-119074	-113457
1073	-123746	-116821	-122872	-132948	-126244	-115426	-113986	-118910	-118911	-113463
1074	-123601	-117016	-122722	-132960	-126231	-115282	-113951	-118826	-118989	-113693
1075	-123518	-117093	-122629	-132677	-126091	-115196	-113974	-118718	-118793	-113656
1076	-123750	-117155	-122397	-132386	-126069	-115272	-114034	-118755	-118675	-113585
1077	-123784	-117315	-122084	-132284	-126170	-115328	-113854	-118711	-118394	-113618
1078	-123801	-117285	-121790	-132090	-126265	-115247	-113632	-118715	-118218	-113679
1079	-123967	-117067	-121590	-131899	-126312	-115192	-113613	-118711	-117975	-113677
1080	-124145	-117060	-121380	-131891	-126151	-115138	-113561	-118703	-118130	-113559
1081	-124402	-117073	-121190	-131895	-126001	-115198	-113470	-118679	-118048	-113685
1082	-124414	-117118	-121159	-131876	-125836	-115361	-113455	-118666	-117948	-113742
1083	-124398	-117092	-121193	-132236	-125912	-115378	-113314	-118773	-118021	-113618
1084	-124426	-117109	-121098	-132333	-126058	-115315	-113268	-118783	-118071	-113669
1085	-124506	-117077	-121048	-132195	-126194	-115211	-113121	-118515	-118251	-113766
1086	-124563	-117012	-121020	-132127	-126152	-115209	-113023	-118315	-118235	-113992
1087	-124593	-116994	-121049	-132150	-125961	-115081	-113075	-118227	-118251	-114172
1088	-124515	-116970	-120922	-132140	-125976	-114870	-112951	-118131	-118232	-114310
1089	-124612	-117060	-120646	-132335	-126008	-114773	-112918	-118052	-118084	-114453
1090	-124720	-117266	-120489	-132478	-126147	-114862	-112989	-118020	-118201	-114547
1091	-124945	-117309	-120235	-132640	-126238	-114996	-113009	-118014	-118327	-114679
1092	-125024	-117401	-119975	-132596	-126302	-114996	-113126	-117830	-118560	-114697
1093	-124982	-117352	-119866	-132450	-126324	-114980	-113205	-117778	-118490	-114721
1094	-124983	-117168	-119894	-132320	-126340	-114759	-113408	-117674	-118363	-114797
1095	-125036	-117377	-119926	-132384	-126212	-114713	-113351	-117677	-118092	-114933
1096	-125124	-117458	-119866	-132242	-126152	-114896	-113265	-117580	-117967	-114878
1097	-125142	-117574	-119675	-132240	-126167	-114644	-113294	-117556	-117896	-114956
1098	-125267	-117593	-119658	-132106	-126178	-114465	-113157	-117609	-117881	-115076
1099	-125369	-117604	-119535	-131999	-126211	-114479	-113110	-117445	-117759	-115259
1100	-125542	-117569	-119416	-131941	-126269	-114470	-112792	-117465	-117610	-115420
1101	-125609	-117686	-119298	-131682	-126287	-114466	-112543	-117377	-117564	-115410
1102	-125638	-117670	-119202	-131713	-126267	-114360	-112333	-117300	-117577	-115420
1103	-125630	-117630	-119233	-131730	-126383	-114290	-112467	-117132	-117605	-115362
1104	-125603	-117585	-119224	-131765	-126586	-114104	-112474	-117338	-117442	-115579
1105	-125628	-117530	-119247	-131905	-126600	-113925	-112461	-117577	-117340	-115732
1106	-125575	-117527	-119347	-131906	-126453	-114067	-112481	-117580	-117250	-115884
1107	-125629	-117782	-119498	-132042	-126310	-113975	-112403	-117508	-117131	-116081
1108	-125584	-117842	-119436	-132012	-126366	-114037	-112381	-117436	-117047	-116117
1109	-125526	-117937	-119481	-131970	-126353	-113975	-112093	-117379	-116961	-116195
1110	-125617	-117941	-119331	-131853	-126317	-114035	-112135	-117350	-116976	-116251
1111	-125616	-117867	-119230	-132175	-126323	-114172	-111984	-117310	-117124	-116357
1112	-125449	-117805	-119323	-132307	-126218	-114148	-111710	-117179	-117206	-116411
1113	-125491	-117937	-119313	-132298	-126141	-114119	-111775	-117307	-117301	-116557
1114	-125508	-117776	-119315	-132547	-126161	-114214	-111655	-117330	-117147	-116782
1115	-125452	-117711	-119007	-132510	-126358	-114364	-111573	-117434	-117280	-117177
1116	-125561	-117725	-118790	-132406	-126354	-114377	-111537	-117432	-117111	-117507
1117	-125528	-117696	-118711	-132427	-126376	-114291	-111568	-117325	-116923	-117627
1118	-125628	-118010	-118591	-132324	-126447	-114261	-111657	-117401	-116929	-117720
1119	-125696	-118033	-118632	-132362	-126683	-114344	-111586	-117413	-116817	-117787
1120	-125790	-118099	-118688	-132297	-126792	-114394	-111510	-117365	-116707	-117727
1121	-125750	-117928	-118707	-132116	-126692	-114515	-111439	-117336	-116593	-117858
1122	-125673	-118036	-118831	-132064	-126668	-114589	-111335	-117352	-116759	-117990
1123	-125745	-118173	-118913	-132248	-126839	-114703	-111180	-117217	-116823	-118037
1124	-125729	-118058	-118932	-132278	-126925	-114787	-111099	-117233	-116772	-118161
1125	-125749	-118025	-118753	-132335	-127135	-114692	-111027	-117228	-116759	-118425
1126	-125729	-117994	-118695	-132349	-127289	-114815	-110979	-117180	-116757	-118591
1127	-125704	-118038	-118642	-132518	-127263	-114875	-110973	-117147	-116534	-118659
1128	-125790	-118165	-118567	-132521	-127073	-114902	-111017	-117191	-116623	-118753
1129	-125657	-118195	-118270	-132558	-127207	-115158	-110931	-117199	-116570	-118889
1130	-125830	-118347	-118226	-132732	-127403	-115330	-111063	-117325	-116563	-119024
1131	-125914	-118632	-118313	-132655	-127524	-115535	-111121	-117366	-116679	-119245
1132	-125891	-118671	-118224	-132618	-127580	-115635	-110926	-117407	-116666	-119372
1133	-125825	-118815	-118329	-132757	-127758	-115692	-110899	-117327	-116674	-119516
1134	-125726	-118826	-118479	-132650	-127711	-115630	-110975	-117423	-116890	-119436
1135	-125798	-118855	-118509	-132763	-127756	-115716	-110889	-117640	-116863	-119512
1136	-125747	-118915	-118590	-132609	-127823	-115799	-110719	-117767	-116848	-119658
1137	-125543	-119093	-118816	-132623	-127995	-116092	-110627	-117729	-116947	-119749
1138	-125361	-119198	-118825	-132416	-128067	-116120	-110578	-117664	-117099	-119741
1139	-125383	-119268	-118839	-132354	-128214	-116381	-110592	-117781	-117123	-119654
1140	-125495	-119318	-118663	-132397	-128360	-116403	-110331	-117839	-117072	-119756
1141	-125536	-119328	-118534	-132311	-128409	-116649	-110231	-117887	-117059	-119796
1142	-125420	-119389	-118495	-132347	-128465	-116652	-110111	-117950	-116982	-119778
1143	-125350	-119452	-118605	-132326	-128546	-116728	-110066	-118037	-116966	-119761
1144	-125162	-119460	-118685	-132375	-128692	-116899	-109987	-118120	-116910	-119826
1145	-124874	-119536	-118676	-132474	-128775	-116994	-109944	-118355	-116818	-119975
1146	-124684	-119475	-118730	-132291	-128878	-116990	-109964	-118450	-116965	-119941
1147	-124620	-119503	-118853	-132220	-128889	-117155	-109793	-118600	-117023	-119988
1148	-124588	-119434	-118834	-132168	-129029	-117266	-109762	-118790	-117168	-119972
1149	-124733	-119276	-118861	-132204	-129089	-117303	-109682	-118847	-117232	-120040
1150	-124717	-119229	-118716	-132318	-129187	-117343	-109623	-118976	-117088	-120087
1151	-124812	-119274	-118655	-132487	-129152	-117428	-109513	-119075	-116936	-119928
1152	-124837	-119367	-118743	-132610	-129169	-117370	-109296	-119112	-117207	-119949
1153	-124599	-119402	-118650	-132649	-129092	-117372	-109292	-119426	-117233	-120061
1154	-124472	-119393	-118845	-132746	-128939	-117364	-109394	-119544	-117300	-120118
1155	-124259	-119423	-119011	-132736	-128816	-117295	-109342	-119635	-117240	-120211
1156	-124269	-119320	-118928	-132590	-128804	-117402	-109358	-119691	-117240	-120246
1157	-124385	-119280	-119085	-132628	-128975	-117364	-109466	-119598	-117360	-120281
1158	-124428	-119240	-119073	-132722	-128880	-117341	-109313	-119626	-117303	-120157
1159	-124344	-119202	-119143	-132901	-128922	-117378	-109308	-119660	-117547	-120352
1160	-124250	-119169	-119226	-132880	-129069	-117274	-109272	-119791	-117765	-120563
1161	-124145	-119197	-119162	-132734	-129161	-117455	-109204	-119826	-117636	-120521
1162	-123844	-119180	-119165	-132761	-129167	-117491	-109276	-120041	-117496	-120636
1163	-123850	-119057	-119260	-132662	-129128	-117354	-109394	-120206	-117337	-120778
1164	-123708	-119098	-119526	-132613	-129116	-117482	-109241	-120369	-117184	-120556
1165	-123682	-119067	-119577	-132591	-129127	-117563	-109110	-120690	-117190	-120485
1166	-123608	-118920	-119664	-132551	-129139	-117503	-108943	-120940	-117027	-120407
1167	-123490	-118801	-119914	-132691	-129140	-117373	-108826	-121117	-117152	-120475
1168	-123161	-118695	-119940	-132953	-129140	-117258	-108863	-121080	-117129	-120338
1169	-123032	-118666	-120139	-132989	-129079	-117075	-109012	-121323	-117141	-120279
1170	-122937	-118535	-120160	-133204	-129138	-116930	-108922	-121531	-117178	-120271
1171	-122861	-118420	-120432	-133141	-129349	-116888	-108863	-121589	-117153	-120153
1172	-122720	-118285	-120448	-133046	-129350	-116803	-108830	-121660	-117048	-120017
1173	-122570	-118000	-120611	-133006	-129332	-116833	-108821	-121645	-117144	-119859
1174	-122548	-117993	-120664	-132988	-129523	-116759	-108931	-121566	-117058	-119736
1175	-122353	-118112	-120586	-133026	-129290	-116780	-108781	-121511	-116840	-119678
1176	-122346	-118195	-120530	-133235	-129159	-116681	-108835	-121380	-116896	-119640
1177	-122399	-118239	-120548	-133399	-129128	-116701	-108695	-121343	-116775	-119501
1178	-122234	-118034	-120553	-133344	-129172	-116690	-108630	-121245	-116692	-119528
1179	-121939	-117918	-120510	-133390	-129030	-116715	-108518	-121230	-116669	-119309
1180	-121887	-117788	-120307	-133531	-129108	-116634	-108501	-121377	-116800	-119368
1181	-121755	-117762	-120338	-133631	-129235	-116291	-108458	-121457	-116678	-119254
1182	-121670	-117594	-120304	-133733	-129254	-116123	-108395	-121437	-116831	-119190
1183	-121738	-117378	-120211	-133811	-129228	-115950	-108584	-121656	-116781	-119211
1184	-121705	-117362	-120255	-133984	-129027	-115784	-108628	-121642	-116947	-119124
1185	-121615	-117287	-120218	-134107	-128816	-115781	-108793	-121629	-116895	-119144
1186	-121543	-117259	-120279	-134294	-128711	-115825	-109086	-121697	-116985	-118805
1187	-121492	-117122	-120359	-134148	-128554	-115818	-109185	-121546	-116727	-118500
1188	-121311	-117123	-120330	-134064	-128315	-115743	-109166	-121549	-116753	-118239
1189	-121146	-116937	-120199	-134088	-128276	-115688	-109095	-121527	-116667	-117845
1190	-120902	-116799	-120202	-134153	-128206	-115639	-108862	-121550	-116721	-117927
1191	-121039	-116518	-120111	-134180	-128288	-115376	-108649	-121729	-116663	-117684
1192	-120914	-116185	-120101	-134294	-128341	-115127	-108588	-121910	-116910	-117362
1193	-120969	-116247	-120113	-134270	-128387	-114998	-108595	-121917	-116949	-117140
1194	-120940	-116119	-120316	-134349	-128444	-114916	-108468	-121976	-117197	-116994
1195	-120688	-116056	-120476	-134466	-128217	-114787	-108467	-121792	-117157	-116825
1196	-120654	-115949	-120540	-134606	-128290	-114503	-108685	-121688	-117367	-116648
1197	-120520	-115740	-120764	-134563	-128143	-114230	-108904	-121563	-117309	-116470
1198	-120434	-115805	-120894	-134666	-127940	-114203	-109113	-121455	-117305	-116484
1199	-120395	-115677	-120986	-134659	-127861	-114250	-109241	-121453	-117279	-116275
1200	-120084	-115565	-121001	-134577	-127963	-114048	-109101	-121442	-117165	-116226
1201	-120061	-115322	-120992	-134464	-127959	-113820	-108995	-121389	-117167	-116108
1202	-120032	-115264	-120967	-134258	-127842	-113707	-108954	-121274	-117284	-116168
1203	-119876	-115092	-120924	-134206	-127700	-113488	-108734	-121167	-117238	-115995
1204	-119729	-115065	-120880	-134240	-127508	-113216	-108512	-121155	-117085	-115700
1205	-119774	-115250	-120844	-134213	-127437	-113021	-108484	-121153	-117063	-115377
1206	-119749	-115075	-120693	-134148	-127242	-112790	-108528	-121006	-117141	-115295
1207	-119526	-114829	-120585	-134228	-126985	-112634	-108698	-120952	-117103	-115150
1208	-119302	-114684	-120537	-134137	-126845	-112652	-108717	-120799	-117220	-115005
1209	-118990	-114575	-120532	-133895	-126621	-112649	-108883	-120595	-117114	-114848
1210	-118861	-114456	-120498	-133626	-126691	-112547	-109090	-120494	-117017	-114949
1211	-118894	-114342	-120453	-133443	-126625	-112455	-109157	-120556	-116982	-114885
1212	-118859	-114290	-120613	-133413	-126300	-112350	-109358	-120485	-116951	-114654
1213	-118966	-114201	-120718	-133329	-126106	-112320	-109218	-120435	-116764	-114491
1214	-118817	-114120	-120719	-133470	-126074	-112246	-109210	-120214	-116916	-114349
1215	-118826	-113929	-120734	-133605	-126050	-112096	-109284	-120078	-117105	-114282
1216	-118833	-113765	-120773	-133710	-125944	-112152	-109184	-119975	-117154	-114203
1217	-118599	-113670	-120835	-133585	-125741	-112353	-109269	-119741	-117007	-114043
1218	-118504	-113441	-120693	-133614	-125773	-112342	-109190	-119652	-117112	-113752
1219	-118396	-113353	-120511	-133631	-125656	-112212	-109373	-119566	-116980	-113359
1220	-118174	-113213	-120472	-133628	-125613	-112204	-109417	-119520	-116970	-113149
1221	-118223	-113207	-120254	-133508	-125532	-112137	-109637	-119513	-116957	-113004
1222	-118410	-113315	-120196	-133362	-125248	-112057	-109650	-119440	-116970	-112886
1223	-118324	-113295	-120194	-133105	-125125	-111955	-109590	-119276	-116990	-112625
1224	-118308	-113282	-120058	-132771	-125344	-111854	-109661	-119087	-117009	-112294
1225	-118509	-113430	-120030	-132473	-125659	-111601	-109504	-118876	-117067	-112133
1226	-118342	-113371	-119812	-132290	-126066	-111412	-109468	-118716	-117142	-112239
1227	-118261	-113242	-119681	-132287	-126113	-111323	-109582	-118499	-117088	-112154
1228	-118297	-113208	-119604	-132315	-126187	-111472	-109478	-118330	-117140	-112103
1229	-118037	-113269	-119659	-132356	-126517	-111489	-109414	-118090	-117038	-111984
1230	-117897	-113222	-119629	-132069	-126400	-111494	-109520	-117952	-116800	-111868
1231	-117944	-113192	-119513	-132096	-126378	-111556	-109722	-117707	-116522	-111826
1232	-117936	-113181	-119377	-132195	-126062	-111483	-109756	-117588	-116352	-111876
1233	-118224	-113311	-119169	-132010	-125807	-111582	-109779	-117582	-116295	-111781
1234	-118358	-113113	-119068	-131940	-125615	-111474	-109801	-117455	-116126	-111542
1235	-118346	-113244	-118933	-131701	-125552	-111420	-109813	-117376	-116179	-111256
1236	-118547	-113193	-118841	-131329	-125590	-111280	-109871	-117381	-116353	-111232
1237	-118625	-113083	-118820	-131315	-125602	-111245	-109873	-117269	-116239	-111173
1238	-118559	-113156	-118896	-131188	-125498	-111004	-109836	-117154	-116225	-111144
1239	-118370	-113171	-118770	-131150	-125286	-110986	-109829	-117108	-116297	-111085
1240	-118423	-113411	-118762	-131151	-125339	-110872	-109897	-116942	-116257	-110971
1241	-118603	-113509	-118482	-131172	-125186	-110852	-109897	-116861	-116102	-110884
1242	-118553	-113371	-118422	-131199	-125029	-110670	-109818	-116973	-115789	-110829
1243	-118448	-113315	-118412	-131188	-124884	-110595	-109862	-116810	-115478	-110808
1244	-118467	-113420	-118577	-131072	-124549	-110694	-109631	-116641	-115432	-110737
1245	-118470	-113321	-118599	-130935	-124251	-110780	-109566	-116653	-115298	-110768
1246	-118476	-113247	-118582	-130663	-124143	-110855	-109430	-116301	-115348	-110812
1247	-118454	-113187	-118436	-130521	-124180	-110811	-109326	-115990	-115207	-110801
1248	-118459	-113232	-118505	-130198	-124140	-110739	-109268	-115793	-115205	-110682
1249	-118233	-113235	-118408	-130103	-123951	-110527	-109054	-115783	-115001	-110300
1250	-118199	-113045	-118289	-129949	-123929	-110450	-108872	-115724	-114735	-110050
1251	-118425	-113075	-118232	-129700	-123984	-110383	-108771	-115742	-114797	-109820
1252	-118460	-113192	-118100	-129742	-123887	-110435	-108799	-115769	-114706	-109725
1253	-118749	-113284	-117794	-129664	-123973	-110472	-108696	-115573	-114637	-109648
1254	-118993	-113451	-117547	-129431	-124123	-110635	-108717	-115267	-114730	-109645
1255	-119102	-113375	-117422	-129347	-124238	-110513	-108632	-115019	-114452	-109741
1256	-119199	-113202	-117233	-129248	-124261	-110434	-108537	-114729	-114418	-109752
1257	-119163	-113152	-117047	-129286	-124318	-110441	-108585	-114599	-114348	-109833
1258	-119365	-113191	-117107	-129414	-124208	-110330	-108556	-114466	-114426	-109753
1259	-119422	-113271	-117251	-129353	-124056	-110215	-108507	-114368	-114569	-109810
1260	-119441	-113194	-117362	-129194	-123971	-109904	-108553	-114297	-114685	-109721
1261	-119720	-112997	-117208	-129158	-123840	-109872	-108648	-114091	-114642	-109624
1262	-119861	-112976	-117038	-129100	-123811	-109881	-108603	-113910	-114673	-109642
1263	-120010	-112728	-116900	-128995	-123971	-109810	-108655	-113821	-114542	-109559
1264	-120131	-112737	-116647	-128778	-123931	-109882	-108728	-113641	-114306	-109516
1265	-120071	-112834	-116516	-128769	-123799	-110054	-108710	-113400	-114139	-109711
1266	-120166	-112802	-116110	-128903	-123889	-110061	-108799	-113158	-113877	-109790
1267	-120019	-113062	-115835	-129034	-123920	-110164	-108712	-113040	-113816	-109789
1268	-119841	-113041	-115825	-128967	-123772	-110249	-108742	-113029	-113693	-109824
1269	-119850	-113084	-115915	-128785	-123607	-110219	-108831	-113086	-113765	-109885
1270	-119858	-113097	-116029	-128514	-123659	-110299	-108611	-112860	-113771	-109957
1271	-120052	-113188	-116035	-128304	-123525	-110184	-108549	-112928	-113499	-110091
1272	-120220	-113124	-116075	-128010	-123490	-110186	-108584	-112840	-113567	-110204
1273	-120243	-113328	-116089	-127890	-123496	-110116	-108540	-112701	-113535	-110351
1274	-120179	-113140	-115957	-127738	-123450	-110034	-108382	-112540	-113563	-110359
1275	-120158	-113234	-115843	-127731	-123597	-110045	-108188	-112457	-113517	-110485
1276	-120011	-113331	-115861	-127865	-123602	-110132	-108070	-112429	-113469	-110564
1277	-119852	-113440	-115767	-127820	-123758	-110202	-108097	-112411	-113378	-110553
1278	-119885	-113650	-115537	-127807	-123872	-110192	-107976	-112267	-113203	-110513
1279	-119990	-113793	-115459	-127856	-123859	-110395	-107969	-112072	-112955	-110483
1280	-119942	-113898	-115398	-127882	-123754	-110425	-107935	-112058	-112745	-110556
1281	-120036	-113962	-115144	-127754	-123653	-110325	-107825	-111946	-112759	-110598
1282	-120172	-113997	-115099	-127638	-123763	-110509	-107533	-111882	-112696	-110613
1283	-120204	-114087	-114987	-127595	-123868	-110349	-107514	-111726	-112797	-110812
1284	-120156	-114083	-115143	-127555	-123900	-110272	-107564	-111644	-112778	-110874
1285	-120130	-114188	-115160	-127692	-124034	-110358	-107520	-111527	-112786	-111150
1286	-120379	-114132	-114990	-127544	-124288	-110416	-107555	-111506	-112680	-111170
1287	-120538	-114117	-114963	-127414	-124380	-110567	-107350	-111545	-112743	-111265
1288	-120545	-114225	-114891	-127499	-124547	-110708	-107147	-111535	-112684	-111504
1289	-120699	-114162	-114885	-127462	-124666	-110737	-107031	-111615	-112607	-111638
1290	-120694	-114282	-114582	-127619	-124612	-110851	-106886	-111600	-112764	-111844
1291	-120659	-114185	-114491	-127763	-124603	-110869	-106766	-111539	-112690	-112077
1292	-120816	-114323	-114314	-127637	-124665	-110915	-106695	-111493	-112758	-112039
1293	-120895	-114525	-114079	-127506	-124627	-111067	-106656	-111631	-112759	-111935
1294	-121027	-114300	-113901	-127648	-124967	-111019	-106913	-111721	-112816	-112021
1295	-121025	-114280	-113862	-127579	-125093	-110948	-106884	-111860	-112675	-112123
1296	-120975	-114192	-113984	-127621	-125327	-110984	-106886	-111948	-112638	-112398
1297	-121004	-114266	-114069	-127704	-125345	-111094	-106955	-112107	-112551	-112568
1298	-121168	-114248	-114051	-127537	-125289	-111169	-106758	-112190	-112369	-112741
1299	-121225	-114322	-114169	-127458	-125322	-111223	-106573	-112181	-112193	-112716
1300	-121444	-114145	-114227	-127412	-125191	-111379	-106357	-112183	-112224	-112780
1301	-121640	-114142	-114234	-127302	-125013	-111541	-106236	-112234	-112181	-112956
1302	-121582	-114210	-114424	-127439	-124789	-111854	-105914	-112067	-112446	-112958
1303	-121582	-114164	-114461	-127549	-124937	-112059	-105786	-112192	-112404	-113112
1304	-121531	-114299	-114413	-127605	-125168	-112113	-105745	-112308	-112456	-113377
1305	-121470	-114431	-114256	-127624	-125463	-112086	-105700	-112378	-112473	-113617
