#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
75	-136924	-126181	-129426	-147347	-142012	-125134	-122673	-126855	-128973	-127525
76	-136852	-126262	-129455	-147307	-141904	-125195	-122351	-126881	-128934	-127704
77	-136684	-126383	-129491	-147171	-141857	-125074	-122253	-126886	-128901	-127675
78	-136382	-126313	-129526	-147051	-141685	-125088	-122255	-126715	-128848	-127648
79	-136271	-126244	-129590	-146924	-141800	-125159	-122282	-126859	-128850	-127535
80	-135923	-126400	-129701	-146837	-141545	-125185	-122411	-126837	-129001	-127394
81	-135716	-126395	-129776	-146769	-141337	-125173	-122446	-126871	-129083	-127264
82	-135749	-126308	-129928	-146614	-141330	-125125	-122448	-126714	-129024	-126991
83	-135645	-126417	-130034	-146527	-141171	-125196	-122620	-126720	-128847	-126760
84	-135710	-126264	-130157	-146473	-141091	-125292	-122641	-126729	-128597	-126610
85	-135815	-126082	-130227	-146169	-141182	-125361	-122514	-126873	-128656	-126601
86	-135688	-125905	-130323	-146076	-141163	-125386	-122438	-126946	-128381	-126496
87	-135936	-125861	-130290	-146061	-141065	-125483	-122355	-127012	-128415	-126498
88	-135839	-125839	-130192	-145997	-141130	-125555	-122279	-127114	-128448	-126334
89	-135739	-125716	-130112	-146206	-141192	-125563	-122048	-126864	-128377	-126170
90	-136012	-125688	-130033	-146366	-141189	-125458	-122107	-126805	-128236	-126115
91	-136045	-126028	-129983	-146311	-141199	-125434	-122146	-126776	-128127	-125962
92	-135827	-126018	-129838	-146350	-141245	-125428	-122037	-126873	-128026	-125719
93	-135855	-126157	-129913	-146366	-141168	-125422	-121784	-126952	-128112	-125478
94	-135856	-126033	-129904	-146459	-141254	-125397	-121737	-126865	-128228	-125316
95	-135811	-125919	-129901	-146333	-141422	-125446	-121687	-126901	-128114	-124938
96	-135700	-126089	-130128	-146260	-141352	-125470	-121480	-126925	-128047	-124884
97	-135561	-125910	-130160	-146167	-141446	-125481	-121126	-126909	-127814	-124841
98	-135504	-125897	-130280	-146155	-141698	-125285	-121002	-126931	-127701	-124749
